환경성적표지 인증제품 유효현황(2021.12.22. 기준),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"○ 환경성적표지 유효현황 : 323개 기업, 1455개 제품(저탄소제품 95개 기업, 294개 제품 포함)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,자원발자국,,,,,,탄소발자국,,,,,,오존층영향,,,,,,산성비,,,,,,부영양화,,,,,,광화학 스모그,,,,,,물발자국,,,,,,,,,,,
연번,기업명,사업자등록번호,영향범주,인증번호,제품군,인증제품명,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,시작,종료,,,,
38,씨제이제일제당(주),104-86-09535,환경성적,2019-041,비내구재,백설 갈색설탕[1kg],,,,,,,5.15.E+02,gCO2e/개,2.55.E+02,2.56.E+02,-,4.29.E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-22,2022-03-21,,,,
39,씨제이제일제당(주),104-86-09535,환경성적,2019-042,비내구재,백설 갈색설탕[3kg],,,,,,,1.53.E+03,gCO2e/개,7.53.E+02,7.67.E+02,-,9.88.E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-22,2022-03-21,,,,
40,(주)현대엘앤씨,104-86-55679,저탄소제품,2019-043,생산재,디럭스 타일[3mm],2.57.E-02,kgSbe/m2,1.91.E-02,6.55.E-03,-,-,3.02.E+00,kgCO2e/m2,1.93.E+00,1.09.E+00,-,-,2.04.E-07,kgCFC-11e/m2,2.03.E-07,1.01.E-09,-,-,9.98.E-03,kgSO2e/m2,7.90.E-03,2.09.E-03,-,-,3.12.E-03,kgPO43-e/m2,1.92.E-03,1.20.E-03,-,-,4.80.E-03,kgC2H4e/m2,3.03.E-03,1.77.E-03,-,-,3.27.E-02,m3H2Oe/m2,1.64.E-02,1.63.E-02,-,-,2019-03-22,2022-03-21,,,,
41,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(용접봉 선재),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-25,2022-01-24,,,,
42,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(경강 선재),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-25,2022-01-24,,,,
43,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(피아노 선재),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-25,2022-01-24,,,,
44,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(연강 선재),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-25,2022-01-24,,,,
45,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(스프링강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-25,2022-01-24,,,,
46,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(쾌삭강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-25,2022-01-24,,,,
47,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(베어링강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-25,2022-01-24,,,,
48,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(냉간압조용 탄소강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-25,2022-01-24,,,,
49,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(타이어코드용),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-25,2022-01-24,,,,
50,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(기계구조용강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-25,2022-01-24,,,,
51,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(고장력강선재),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-25,2022-01-24,,,,
