환경성적표지 인증제품 유효현황(2021.12.22. 기준),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"○ 환경성적표지 유효현황 : 323개 기업, 1455개 제품(저탄소제품 95개 기업, 294개 제품 포함)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,자원발자국,,,,,,탄소발자국,,,,,,오존층영향,,,,,,산성비,,,,,,부영양화,,,,,,광화학 스모그,,,,,,물발자국,,,,,,,,,,,
연번,기업명,사업자등록번호,영향범주,인증번호,제품군,인증제품명,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,시작,종료,,,,
1201,서진레미콘(주),224-81-32446,저탄소제품,2021-352,생산재,"레디믹스트 콘크리트[25-21-150, 강원도]",9.12.E-01,kgSbe/m3,8.92.E-01,1.98.E-02,-,-,2.42.E+02,kgCO2e/m3,2.39.E+02,3.13.E+00,-,-,8.25.E-03,kgCFC-11e/m3,8.25.E-03,1.86.E-09,-,-,2.60.E-01,kgSO2e/m3,2.55.E-01,5.54.E-03,-,-,2.98.E-02,kgPO43-e/m3,2.88.E-02,9.96.E-04,-,-,1.69.E-01,kgC2H4e/m3,1.69.E-01,4.00.E-05,-,-,5.98.E-01,m3H2Oe/m3,4.28.E-01,1.70.E-01,-,-,2021-10-05,2024-10-04,,,,
1202,유진기업(주),130-81-22624,환경성적,2021-353,생산재,"레디믹스트 콘크리트[25-24-150, 수도권]",8.30.E-01,kgSbe/m3,8.20.E-01,9.39.E-03,-,-,2.21.E+02,kgCO2e/m3,2.20.E+02,1.49.E+00,-,-,1.78.E-02,kgCFC-11e/m3,1.78.E-02,8.50.E-07,-,-,2.64.E-01,kgSO2e/m3,2.61.E-01,3.25.E-03,-,-,3.20.E-02,kgPO43-e/m3,3.15.E-02,5.01.E-04,-,-,1.81.E-01,kgC2H4e/m3,1.80.E-01,5.32.E-04,-,-,5.17.E-01,m3H2Oe/m3,4.22.E-01,9.56.E-02,-,-,2021-10-05,2024-10-04,,,,
1203,유진기업(주),130-81-22624,환경성적,2021-354,생산재,"레디믹스트 콘크리트[25-24-150, 전라도]",8.60.E-01,kgSbe/m3,8.50.E-01,9.29.E-03,-,-,2.35.E+02,kgCO2e/m3,2.33.E+02,1.47.E+00,-,-,1.67.E-02,kgCFC-11e/m3,1.67.E-02,4.20.E-06,-,-,3.09.E-01,kgSO2e/m3,3.05.E-01,3.19.E-03,-,-,3.64.E-02,kgPO43-e/m3,3.60.E-02,4.93.E-04,-,-,2.08.E-01,kgC2H4e/m3,2.08.E-01,6.13.E-05,-,-,5.45.E-01,m3H2Oe/m3,4.41.E-01,1.04.E-01,-,-,2021-10-05,2024-10-04,,,,
1204,유진기업(주),130-81-22624,환경성적,2021-355,생산재,"레디믹스트 콘크리트[25-24-150, 충청도]",1.05.E+00,kgSbe/m3,1.04.E+00,9.49.E-03,-,-,2.76.E+02,kgCO2e/m3,2.74.E+02,1.50.E+00,-,-,1.81.E-02,kgCFC-11e/m3,1.81.E-02,1.11.E-06,-,-,2.89.E-01,kgSO2e/m3,2.85.E-01,3.23.E-03,-,-,3.41.E-02,kgPO43-e/m3,3.36.E-02,5.05.E-04,-,-,2.02.E-01,kgC2H4e/m3,2.02.E-01,6.71.E-05,-,-,5.65.E-01,m3H2Oe/m3,4.78.E-01,8.72.E-02,-,-,2021-10-05,2024-10-04,,,,
1205,유진기업(주),130-81-22624,환경성적,2021-356,생산재,"레디믹스트 콘크리트[25-24-150, 강원도]",9.35.E-01,kgSbe/m3,9.18.E-01,1.62.E-02,-,-,2.46.E+02,kgCO2e/m3,2.43.E+02,2.55.E+00,-,-,1.61.E-02,kgCFC-11e/m3,1.61.E-02,1.20.E-06,-,-,2.59.E-01,kgSO2e/m3,2.54.E-01,5.41.E-03,-,-,3.09.E-02,kgPO43-e/m3,3.00.E-02,8.57.E-04,-,-,1.79.E-01,kgC2H4e/m3,1.79.E-01,1.08.E-04,-,-,5.67.E-01,m3H2Oe/m3,4.53.E-01,1.14.E-01,-,-,2021-10-05,2024-10-04,,,,
1206,덕원산업(주),221-81-08909,저탄소제품,2021-357,생산재,"레디믹스트 콘크리트[25-27-150, 수도권]",1.14.E+00,kgSbe/m3,1.13.E+00,9.45.E-03,-,-,2.96.E+02,kgCO2e/m3,2.95.E+02,1.48.E+00,-,-,2.69.E-02,kgCFC-11e/m3,2.69.E-02,9.36.E-09,-,-,3.06.E-01,kgSO2e/m3,3.02.E-01,3.83.E-03,-,-,3.72.E-02,kgPO43-e/m3,3.66.E-02,5.27.E-04,-,-,2.25.E-01,kgC2H4e/m3,2.25.E-01,1.03.E-04,-,-,6.32.E-01,m3H2Oe/m3,5.39.E-01,9.25.E-02,-,-,2021-10-05,2024-10-04,,,,
1207,성진씨엠(주),490-87-00922,환경성적,2021-358,생산재,"레디믹스트 콘크리트[25-24-150,경상도]",8.20.E-01,kgSbe/m3,8.07.E-01,1.35.E-02,-,-,2.30.E+02,kgCO2e/m3,2.28.E+02,2.12.E+00,-,-,8.54.E-02,kgCFC-11e/m3,8.54.E-02,3.95.E-06,-,-,2.83.E-01,kgSO2e/m3,2.78.E-01,5.32.E-03,-,-,5.45.E-02,kgPO43-e/m3,5.38.E-02,7.46.E-04,-,-,1.34.E-01,kgC2H4e/m3,1.33.E-01,1.39.E-04,-,-,5.84.E-01,m3H2Oe/m3,4.24.E-01,1.60.E-01,-,-,2021-10-05,2024-10-04,,,,
1208,성진씨엠(주),490-87-00922,환경성적,2021-359,생산재,"레디믹스트 콘크리트[25-21-150,경상도]",8.82.E-01,kgSbe/m3,8.69.E-01,1.33.E-02,-,-,2.42.E+02,kgCO2e/m3,2.40.E+02,2.09.E+00,-,-,7.17.E-02,kgCFC-11e/m3,7.17.E-02,3.95.E-06,-,-,3.15.E-01,kgSO2e/m3,3.10.E-01,5.15.E-03,-,-,5.55.E-02,kgPO43-e/m3,5.47.E-02,7.32.E-04,-,-,1.53.E-01,kgC2H4e/m3,1.53.E-01,1.31.E-04,-,-,6.02.E-01,m3H2Oe/m3,4.44.E-01,1.58.E-01,-,-,2021-10-05,2024-10-04,,,,
1209,성진씨엠(주),490-87-00922,환경성적,2021-360,생산재,"레디믹스트 콘크리트[25-27-150,경상도]",9.08.E-01,kgSbe/m3,8.95.E-01,1.26.E-02,-,-,2.53.E+02,kgCO2e/m3,2.51.E+02,1.98.E+00,-,-,8.36.E-02,kgCFC-11e/m3,8.36.E-02,3.95.E-06,-,-,3.18.E-01,kgSO2e/m3,3.14.E-01,4.51.E-03,-,-,5.84.E-02,kgPO43-e/m3,5.77.E-02,6.78.E-04,-,-,1.50.E-01,kgC2H4e/m3,1.50.E-01,9.75.E-05,-,-,6.08.E-01,m3H2Oe/m3,4.53.E-01,1.55.E-01,-,-,2021-10-05,2024-10-04,,,,
1210,성진씨엠(주),490-87-00922,환경성적,2021-361,생산재,"레디믹스트 콘크리트[25-30-150,경상도]",9.71.E-01,kgSbe/m3,9.57.E-01,1.38.E-02,-,-,2.70.E+02,kgCO2e/m3,2.68.E+02,2.16.E+00,-,-,8.42.E-02,kgCFC-11e/m3,8.42.E-02,3.95.E-06,-,-,3.25.E-01,kgSO2e/m3,3.19.E-01,5.25.E-03,-,-,5.81.E-02,kgPO43-e/m3,5.74.E-02,7.54.E-04,-,-,1.62.E-01,kgC2H4e/m3,1.62.E-01,1.29.E-04,-,-,6.19.E-01,m3H2Oe/m3,4.73.E-01,1.46.E-01,-,-,2021-10-05,2024-10-04,,,,
1211,성진씨엠(주),490-87-00922,환경성적,2021-362,생산재,"레디믹스트 콘크리트[25-35-150,경상도]",9.26.E-01,kgSbe/m3,9.13.E-01,1.26.E-02,-,-,2.68.E+02,kgCO2e/m3,2.66.E+02,1.98.E+00,-,-,1.11.E-01,kgCFC-11e/m3,1.11.E-01,3.95.E-06,-,-,2.81.E-01,kgSO2e/m3,2.77.E-01,4.62.E-03,-,-,5.77.E-02,kgPO43-e/m3,5.70.E-02,6.83.E-04,-,-,1.39.E-01,kgC2H4e/m3,1.39.E-01,1.04.E-04,-,-,5.79.E-01,m3H2Oe/m3,4.58.E-01,1.21.E-01,-,-,2021-10-05,2024-10-04,,,,
1212,(주)이비아이,143-81-04791,저탄소제품,2021-363,생산재,이비아이 경질우레탄폼보드 2종2호,1.00.E+00,kgSbe/m3,9.52.E-01,5.24.E-02,-,-,1.21.E+02,kgCO2e/m3,1.12.E+02,8.78.E+00,-,-,1.80.E-05,kgCFC-11e/m3,1.80.E-05,3.70.E-09,-,-,5.44.E-01,kgSO2e/m3,5.27.E-01,1.63.E-02,-,-,2.85.E-01,kgPO43-e/m3,2.82.E-01,2.88.E-03,-,-,1.70.E-01,kgC2H4e/m3,1.70.E-01,8.43.E-05,-,-,4.63.E-01,m3H2Oe/m3,3.56.E-01,1.07.E-01,-,-,2021-10-05,2024-10-04,,,,
1213,금호석유화학(주),102-81-31147,저탄소제품,2021-364,생산재,Hugreen 랩핑 프로파일,1.59.E-02,kgSbe/kg,1.37.E-02,2.21.E-03,-,-,1.37.E+00,kgCO2e/kg,1.02.E+00,3.50.E-01,-,-,7.56.E-05,kgCFC-11e/kg,7.47.E-05,8.82.E-07,-,-,2.78.E-03,kgSO2e/kg,2.19.E-03,5.92.E-04,-,-,6.93.E-04,kgPO43-e/kg,5.83.E-04,1.10.E-04,-,-,6.46.E-03,kgC2H4e/kg,1.61.E-03,4.85.E-03,-,-,8.81.E-03,m3H2Oe/kg,3.68.E-03,5.13.E-03,-,-,2021-10-05,2024-10-04,,,,
1214,(주)도현레미콘,557-81-00067,환경성적,2021-365,생산재,"레디믹스트 콘크리트 [25-21-150, 경상도]",7.19.E-01,kgSbe/m3,7.11.E-01,7.51.E-03,-,-,2.46.E+02,kgCO2e/m3,2.45.E+02,1.19.E+00,-,-,6.98.E-02,kgCFC-11e/m3,6.98.E-02,4.70.E-07,-,-,2.50.E-01,kgSO2e/m3,2.48.E-01,2.16.E-03,-,-,5.37.E-02,kgPO43-e/m3,5.34.E-02,3.83.E-04,-,-,6.50.E-02,kgC2H4e/m3,6.49.E-02,2.25.E-05,-,-,7.92.E-01,m3H2Oe/m3,4.45.E-01,3.48.E-01,-,-,2021-10-05,2024-10-04,,,,
1215,(주)도현레미콘,557-81-00067,환경성적,2021-366,생산재,"레디믹스트 콘크리트 [25-24-150, 경상도]",6.26.E-01,kgSbe/m3,6.19.E-01,7.23.E-03,-,-,2.10.E+02,kgCO2e/m3,2.09.E+02,1.15.E+00,-,-,9.59.E-02,kgCFC-11e/m3,9.59.E-02,4.59.E-07,-,-,1.99.E-01,kgSO2e/m3,1.97.E-01,2.08.E-03,-,-,5.02.E-02,kgPO43-e/m3,4.98.E-02,3.68.E-04,-,-,5.93.E-02,kgC2H4e/m3,5.93.E-02,2.11.E-05,-,-,6.38.E-01,m3H2Oe/m3,3.94.E-01,2.45.E-01,-,-,2021-10-05,2024-10-04,,,,
1216,(주)도현레미콘,557-81-00067,환경성적,2021-367,생산재,"레디믹스트 콘크리트 [25-27-150, 경상도]",7.95.E-01,kgSbe/m3,7.87.E-01,7.68.E-03,-,-,2.76.E+02,kgCO2e/m3,2.75.E+02,1.22.E+00,-,-,7.54.E-02,kgCFC-11e/m3,7.54.E-02,5.13.E-07,-,-,2.72.E-01,kgSO2e/m3,2.70.E-01,2.20.E-03,-,-,5.82.E-02,kgPO43-e/m3,5.78.E-02,3.90.E-04,-,-,6.49.E-02,kgC2H4e/m3,6.49.E-02,2.13.E-05,-,-,6.78.E-01,m3H2Oe/m3,4.62.E-01,2.16.E-01,-,-,2021-10-05,2024-10-04,,,,
1217,(주)도현레미콘,557-81-00067,저탄소제품,2021-368,생산재,"레디믹스트 콘크리트 [25-21-150, 수도권]",5.26.E-01,kgSbe/m3,5.16.E-01,9.84.E-03,-,-,1.77.E+02,kgCO2e/m3,1.76.E+02,1.55.E+00,-,-,9.98.E-03,kgCFC-11e/m3,9.98.E-03,3.68.E-09,-,-,2.55.E-01,kgSO2e/m3,2.51.E-01,3.14.E-03,-,-,4.53.E-02,kgPO43-e/m3,4.47.E-02,5.12.E-04,-,-,5.01.E-02,kgC2H4e/m3,5.00.E-02,4.72.E-05,-,-,3.53.E-01,m3H2Oe/m3,2.67.E-01,8.59.E-02,-,-,2021-10-05,2024-10-04,,,,
1218,(주)도현레미콘,557-81-00067,저탄소제품,2021-369,생산재,"레디믹스트 콘크리트 [25-24-150, 수도권]",5.91.E-01,kgSbe/m3,5.80.E-01,1.08.E-02,-,-,2.02.E+02,kgCO2e/m3,2.00.E+02,1.70.E+00,-,-,1.08.E-02,kgCFC-11e/m3,1.08.E-02,3.68.E-09,-,-,2.72.E-01,kgSO2e/m3,2.69.E-01,3.39.E-03,-,-,4.82.E-02,kgPO43-e/m3,4.76.E-02,5.58.E-04,-,-,5.29.E-02,kgC2H4e/m3,5.29.E-02,4.83.E-05,-,-,3.82.E-01,m3H2Oe/m3,2.92.E-01,8.99.E-02,-,-,2021-10-05,2024-10-04,,,,
1219,(주)도현레미콘,557-81-00067,저탄소제품,2021-370,생산재,"레디믹스트 콘크리트 [25-27-150, 수도권]",6.50.E-01,kgSbe/m3,6.42.E-01,7.86.E-03,-,-,2.24.E+02,kgCO2e/m3,2.23.E+02,1.24.E+00,-,-,1.16.E-02,kgCFC-11e/m3,1.16.E-02,3.67.E-09,-,-,2.88.E-01,kgSO2e/m3,2.86.E-01,2.61.E-03,-,-,5.08.E-02,kgPO43-e/m3,5.04.E-02,4.13.E-04,-,-,5.55.E-02,kgC2H4e/m3,5.55.E-02,4.50.E-05,-,-,4.34.E-01,m3H2Oe/m3,3.34.E-01,1.00.E-01,-,-,2021-10-05,2024-10-04,,,,
1220,(주)청진이앤씨,510-81-14771,환경성적,2021-371,생산재,네오스톤 일반 60T 보도용,2.74.E-03,kgSbe/개,2.39.E-03,3.42.E-04,-,-,6.33.E-01,kgCO2e/개,5.79.E-01,5.41.E-02,-,-,8.37.E-05,kgCFC-11e/개,8.37.E-05,1.49.E-12,-,-,7.36.E-04,kgSO2e/개,6.45.E-04,9.14.E-05,-,-,1.07.E-04,kgPO43-e/개,9.04.E-05,1.70.E-05,-,-,4.64.E-04,kgC2H4e/개,4.64.E-04,3.85.E-07,-,-,2.42.E-03,m3H2Oe/개,1.74.E-03,6.74.E-04,-,-,2021-10-05,2024-10-04,,,,
1221,(주)청진이앤씨,510-81-14771,환경성적,2021-372,생산재,네오스톤 투수 80T 차도용,3.72.E-03,kgSbe/개,3.24.E-03,4.78.E-04,-,-,8.55.E-01,kgCO2e/개,7.80.E-01,7.56.E-02,-,-,9.90.E-05,kgCFC-11e/개,9.90.E-05,2.09.E-12,-,-,1.00.E-03,kgSO2e/개,8.75.E-04,1.28.E-04,-,-,1.44.E-04,kgPO43-e/개,1.20.E-04,2.38.E-05,-,-,6.21.E-04,kgC2H4e/개,6.20.E-04,5.38.E-07,-,-,3.30.E-03,m3H2Oe/개,2.35.E-03,9.42.E-04,-,-,2021-10-05,2024-10-04,,,,
1222,(주)청진이앤씨,510-81-14771,환경성적,2021-373,생산재,네오스톤 일반 80T 차도용,3.70.E-03,kgSbe/개,3.22.E-03,4.79.E-04,-,-,8.53.E-01,kgCO2e/개,7.77.E-01,7.57.E-02,-,-,1.12.E-04,kgCFC-11e/개,1.12.E-04,2.09.E-12,-,-,9.94.E-04,kgSO2e/개,8.66.E-04,1.28.E-04,-,-,1.45.E-04,kgPO43-e/개,1.21.E-04,2.38.E-05,-,-,6.24.E-04,kgC2H4e/개,6.23.E-04,5.39.E-07,-,-,3.29.E-03,m3H2Oe/개,2.34.E-03,9.44.E-04,-,-,2021-10-05,2024-10-04,,,,
1223,(주)청진이앤씨,510-81-14771,환경성적,2021-374,생산재,네오스톤 투수 60T 보도용,2.75.E-03,kgSbe/개,2.39.E-03,3.59.E-04,-,-,6.35.E-01,kgCO2e/개,5.79.E-01,5.68.E-02,-,-,7.48.E-05,kgCFC-11e/개,7.48.E-05,1.57.E-12,-,-,7.45.E-04,kgSO2e/개,6.49.E-04,9.60.E-05,-,-,1.07.E-04,kgPO43-e/개,8.90.E-05,1.79.E-05,-,-,4.59.E-04,kgC2H4e/개,4.59.E-04,4.04.E-07,-,-,2.45.E-03,m3H2Oe/개,1.74.E-03,7.08.E-04,-,-,2021-10-05,2024-10-04,,,,
1224,(주)모헨즈,213-85-09642,저탄소제품,2021-375,생산재,"레디믹스트 콘크리트[25-21-150, 충청도]",8.42.E-01,kgSbe/m3,8.30.E-01,1.17.E-02,-,-,2.19.E+02,kgCO2e/m3,2.18.E+02,1.85.E+00,-,-,1.81.E-02,kgCFC-11e/m3,1.81.E-02,6.99.E-09,-,-,2.30.E-01,kgSO2e/m3,2.26.E-01,4.11.E-03,-,-,2.81.E-02,kgPO43-e/m3,2.75.E-02,6.26.E-04,-,-,1.64.E-01,kgC2H4e/m3,1.64.E-01,8.23.E-05,-,-,5.26.E-01,m3H2Oe/m3,4.26.E-01,1.00.E-01,-,-,2021-10-05,2024-10-04,,,,
1225,(주)모헨즈,213-85-09642,저탄소제품,2021-376,생산재,"레디믹스트 콘크리트[25-24-150, 충청도]",9.24.E-01,kgSbe/m3,9.13.E-01,1.08.E-02,-,-,2.41.E+02,kgCO2e/m3,2.39.E+02,1.71.E+00,-,-,1.95.E-02,kgCFC-11e/m3,1.95.E-02,7.03.E-09,-,-,2.51.E-01,kgSO2e/m3,2.47.E-01,3.88.E-03,-,-,3.03.E-02,kgPO43-e/m3,2.98.E-02,5.82.E-04,-,-,1.80.E-01,kgC2H4e/m3,1.80.E-01,8.17.E-05,-,-,5.64.E-01,m3H2Oe/m3,4.62.E-01,1.02.E-01,-,-,2021-10-05,2024-10-04,,,,
1226,(주)모헨즈,213-85-09642,저탄소제품,2021-377,생산재,"레디믹스트 콘크리트[25-27-150, 충청도]",1.05.E+00,kgSbe/m3,1.04.E+00,1.33.E-02,-,-,2.75.E+02,kgCO2e/m3,2.72.E+02,2.10.E+00,-,-,2.07.E-02,kgCFC-11e/m3,2.07.E-02,6.84.E-09,-,-,2.86.E-01,kgSO2e/m3,2.82.E-01,4.52.E-03,-,-,3.42.E-02,kgPO43-e/m3,3.35.E-02,7.05.E-04,-,-,2.04.E-01,kgC2H4e/m3,2.04.E-01,8.25.E-05,-,-,6.19.E-01,m3H2Oe/m3,5.10.E-01,1.09.E-01,-,-,2021-10-05,2024-10-04,,,,
1227,에스와이(주),124-81-77032,저탄소제품,2021-378,생산재,경질폴리우레탄폼단열재[2종2호],9.21.E-01,kgSbe/m3,8.80.E-01,4.11.E-02,-,-,9.14.E+01,kgCO2e/m3,8.49.E+01,6.50.E+00,-,-,3.70.E-03,kgCFC-11e/m3,3.70.E-03,7.64.E-10,-,-,4.17.E-01,kgSO2e/m3,4.06.E-01,1.10.E-02,-,-,2.32.E-01,kgPO43-e/m3,2.30.E-01,2.17.E-03,-,-,1.76.E+00,kgC2H4e/m3,1.04.E-01,1.66.E+00,-,-,3.88.E-01,m3H2Oe/m3,3.07.E-01,8.10.E-02,-,-,2021-10-05,2024-10-04,,,,
1228,에스와이(주),124-81-77032,저탄소제품,2021-379,생산재,경질폴리우레탄폼단열재[2종1호],1.11.E+00,kgSbe/m3,1.07.E+00,4.13.E-02,-,-,1.10.E+02,kgCO2e/m3,1.03.E+02,6.53.E+00,-,-,4.55.E-03,kgCFC-11e/m3,4.55.E-03,6.94.E-09,-,-,5.06.E-01,kgSO2e/m3,4.95.E-01,1.12.E-02,-,-,2.85.E-01,kgPO43-e/m3,2.82.E-01,3.48.E-03,-,-,2.17.E+00,kgC2H4e/m3,1.27.E-01,2.04.E+00,-,-,4.57.E-01,m3H2Oe/m3,3.76.E-01,8.11.E-02,-,-,2021-10-05,2024-10-04,,,,
1229,에스와이(주),124-81-77032,저탄소제품,2021-380,생산재,경질폴리우레탄폼단열재[1종3호],9.45.E-01,kgSbe/m3,9.04.E-01,4.12.E-02,-,-,9.38.E+01,kgCO2e/m3,8.73.E+01,6.52.E+00,-,-,3.82.E-03,kgCFC-11e/m3,3.82.E-03,4.87.E-09,-,-,4.29.E-01,kgSO2e/m3,4.17.E-01,1.11.E-02,-,-,2.40.E-01,kgPO43-e/m3,2.37.E-01,3.04.E-03,-,-,1.82.E+00,kgC2H4e/m3,1.07.E-01,1.71.E+00,-,-,3.98.E-01,m3H2Oe/m3,3.17.E-01,8.11.E-02,-,-,2021-10-05,2024-10-04,,,,
1230,에스와이(주),124-81-77032,저탄소제품,2021-381,생산재,"경질폴리우레탄폼단열재[준불연, 2종2호]",1.12.E+00,kgSbe/m3,1.08.E+00,4.16.E-02,-,-,1.13.E+02,kgCO2e/m3,1.06.E+02,6.56.E+00,-,-,4.65.E-03,kgCFC-11e/m3,4.65.E-03,1.74.E-08,-,-,5.20.E-01,kgSO2e/m3,5.09.E-01,1.15.E-02,-,-,2.91.E-01,kgPO43-e/m3,2.85.E-01,5.70.E-03,-,-,2.20.E+00,kgC2H4e/m3,1.31.E-01,2.07.E+00,-,-,4.62.E-01,m3H2Oe/m3,3.81.E-01,8.10.E-02,-,-,2021-10-05,2024-10-04,,,,
1231,(주)정식품,315-81-19977,환경성적,2018-083,비내구재,담백한 베지밀 에이,6.54.E-04,kgSbe/개,2.62.E-04,3.33.E-04,-,5.90.E-05,1.04.E-01,kgCO2e/개,3.97.E-02,5.59.E-02,-,8.57.E-03,1.34.E-05,kgCFC-11e/개,2.39.E-06,1.10.E-05,-,4.95.E-10,3.53.E-04,kgSO2e/개,1.90.E-04,1.12.E-04,-,5.09.E-05,1.21.E-04,kgPO43-e/개,7.28.E-05,3.50.E-05,-,1.34.E-05,7.98.E-05,kgC2H4e/개,4.20.E-05,3.26.E-05,-,5.20.E-06,8.01.E-03,m3H2Oe/개,6.30.E-03,1.70.E-03,-,4.74.E-06,2021-08-31,2024-08-30,,,,
1232,(주)정식품,315-81-19977,환경성적,2018-084,비내구재,달콤한 베지밀 비,6.79.E-04,kgSbe/개,2.84.E-04,3.34.E-04,-,6.07.E-05,1.10.E-01,kgCO2e/개,4.50.E-02,5.60.E-02,-,8.81.E-03,1.47.E-05,kgCFC-11e/개,3.48.E-06,1.12.E-05,-,5.09.E-10,4.45.E-04,kgSO2e/개,2.80.E-04,1.12.E-04,-,5.24.E-05,1.65.E-04,kgPO43-e/개,1.16.E-04,3.50.E-05,-,1.38.E-05,9.24.E-05,kgC2H4e/개,5.42.E-05,3.28.E-05,-,5.35.E-06,9.52.E-03,m3H2Oe/개,7.81.E-03,1.71.E-03,-,4.88.E-06,2021-08-31,2024-08-30,,,,
1233,(주)정식품,315-81-19977,환경성적,2018-085,비내구재,베지밀 인펀트 프리미엄 1,8.76.E-04,kgSbe/개,4.94.E-04,3.14.E-04,-,6.71.E-05,1.38.E-01,kgCO2e/개,7.50.E-02,5.29.E-02,-,1.00.E-02,4.14.E-05,kgCFC-11e/개,3.55.E-05,5.89.E-06,-,5.69.E-10,6.64.E-04,kgSO2e/개,4.93.E-04,1.13.E-04,-,5.76.E-05,3.28.E-04,kgPO43-e/개,2.78.E-04,3.41.E-05,-,1.60.E-05,1.26.E-04,kgC2H4e/개,9.37.E-05,2.61.E-05,-,5.94.E-06,1.01.E-02,m3H2Oe/개,8.41.E-03,1.70.E-03,-,5.50.E-06,2021-08-31,2024-08-30,,,,
1234,(주)정식품,315-81-19977,환경성적,2018-086,비내구재,베지밀 토들러 프리미엄 2,8.79.E-04,kgSbe/개,4.77.E-04,3.34.E-04,-,6.76.E-05,1.39.E-01,kgCO2e/개,7.25.E-02,5.61.E-02,-,1.01.E-02,4.31.E-05,kgCFC-11e/개,3.21.E-05,1.10.E-05,-,5.73.E-10,6.37.E-04,kgSO2e/개,4.66.E-04,1.13.E-04,-,5.81.E-05,3.12.E-04,kgPO43-e/개,2.61.E-04,3.50.E-05,-,1.62.E-05,1.28.E-04,kgC2H4e/개,8.94.E-05,3.28.E-05,-,5.98.E-06,1.02.E-02,m3H2Oe/개,8.49.E-03,1.72.E-03,-,5.54.E-06,2021-08-31,2024-08-30,,,,
1235,(주)정식품,315-81-19977,환경성적,2018-087,비내구재,베지밀 토들러 프리미엄 3,8.94.E-04,kgSbe/개,4.91.E-04,3.34.E-04,-,6.85.E-05,1.41.E-01,kgCO2e/개,7.47.E-02,5.61.E-02,-,9.78.E-03,4.57.E-05,kgCFC-11e/개,3.47.E-05,1.10.E-05,-,5.77.E-10,6.60.E-04,kgSO2e/개,4.88.E-04,1.13.E-04,-,5.93.E-05,3.25.E-04,kgPO43-e/개,2.74.E-04,3.50.E-05,-,1.53.E-05,1.32.E-04,kgC2H4e/개,9.29.E-05,3.27.E-05,-,6.21.E-06,1.02.E-02,m3H2Oe/개,8.48.E-03,1.72.E-03,-,5.49.E-06,2021-08-31,2024-08-30,,,,
1236,(주)누리켐,125-81-31344,환경성적,2021-382,생산재,HB050,7.90.E-03,kgSbe/개,7.65.E-03,2.47.E-04,-,-,9.47.E-01,kgCO2e/개,8.84.E-01,6.25.E-02,-,-,4.41.E-05,kgCFC-11e/개,4.41.E-05,6.29.E-11,-,-,3.69.E-03,kgSO2e/개,3.61.E-03,7.49.E-05,-,-,1.04.E-03,kgPO43-e/개,1.02.E-03,1.50.E-05,-,-,8.90.E-04,kgC2H4e/개,8.89.E-04,1.24.E-06,-,-,1.65.E-02,m3H2Oe/개,1.60.E-02,4.59.E-04,-,-,2021-10-05,2024-10-04,,,,
1237,코오롱인더스트리(주),138-81-56604,환경성적,2021-383,생산재,SUKOREZ SU-100,4.11.E-02,kgSbe/kg,3.62.E-02,4.87.E-03,-,-,1.87.E+00,kgCO2e/kg,1.08.E+00,7.90.E-01,-,-,9.24.E-07,kgCFC-11e/kg,8.85.E-07,3.95.E-08,-,-,6.59.E-03,kgSO2e/kg,4.26.E-03,2.32.E-03,-,-,1.47.E-03,kgPO43-e/kg,3.85.E-04,1.09.E-03,-,-,3.51.E-03,kgC2H4e/kg,3.34.E-03,1.68.E-04,-,-,9.33.E-03,m3H2Oe/kg,7.05.E-04,8.63.E-03,-,-,2021-11-02,2024-11-01,,,,
1238,코오롱인더스트리(주),138-81-56604,환경성적,2021-384,생산재,HIKOTACK P-120,1.40.E-02,kgSbe/kg,1.21.E-02,1.97.E-03,-,-,1.85.E+00,kgCO2e/kg,1.52.E+00,3.23.E-01,-,-,7.27.E-07,kgCFC-11e/kg,7.05.E-07,2.19.E-08,-,-,3.36.E-03,kgSO2e/kg,2.41.E-03,9.51.E-04,-,-,1.56.E-03,kgPO43-e/kg,1.10.E-03,4.60.E-04,-,-,1.38.E-03,kgC2H4e/kg,1.30.E-03,7.80.E-05,-,-,1.33.E-02,m3H2Oe/kg,9.46.E-03,3.86.E-03,-,-,2021-11-02,2024-11-01,,,,
